Equipo_Local,Equipo_Visitante,Cuota_Local,Cuota_Visitante,Resultado
Paris,Barcelona,51,49,1
Real Madrid,Club Brugge,20,80,3
Sevilla,Leipzig,69,31,1
Liverpool,Zenit,38,62,1
Real Madrid,Porto,83,17,2
Chelsea,Atletico,86,14,3
Sporting CP,Leipzig,44,56,3
Sevilla,Benfica,63,37,1
Internazionale,Bensiktas,89,11,3
Club Brugge,Dortmund,10,90,2
Villareal,Malmö,99,1,1
Atletico,Sheriff,53,47,1
Villareal,Paris,60,40,1
Milan,Atlanta,88,12,3
Zenit,Chelsea,46,54,3
Internazionale,Atlanta,76,24,2
Man. United,Malmö,58,42,2
Shakhtar Donetsk,Real Madrid,68,32,3
Leipzig,Malmö,74,26,3
Wolfsburg,Paris,41,59,2
Benfica,Man. United,15,85,2
Paris,Real Madrid,67,33,1
LOSC,Young Boys,10,90,1
Ajax,Atlanta,45,55,2
LOSC,Atlanta,29,71,1
Sheriff,Atletico,65,35,2
Ajax,Liverpool,58,42,2
Juventus,Young Boys,45,55,3
Sporting CP,Porto,26,74,2
Sporting CP,Club Brugge,52,48,3
Bensiktas,Juventus,23,77,2
Juventus,Atletico,21,79,1
Juventus,Sevilla,19,81,3
Malmö,Ajax,2,98,1
Club Brugge,Atletico,4,96,3
Villareal,Dortmund,26,74,3
Young Boys,Leipzig,9,91,3
Internazionale,Dynamo,38,62,2
Sheriff,Real Madrid,44,56,1
Atletico,Man. United,2,98,1
Juventus,Man. United,13,87,3
Sevilla,Shakhtar Donetsk,65,35,1
Young Boys,Dynamo,88,12,1
Zenit,Club Brugge,97,3,2
Ajax,Dortmund,88,12,1
Man. City,Ajax,53,47,1
Dynamo,Bayern,81,19,3
Chelsea,Dynamo,52,48,3
Paris,Dynamo,68,32,3
Dortmund,Club Brugge,27,73,1
Atletico,Sporting CP,70,30,1
Sevilla,Atletico,74,26,1
Real Madrid,Sporting CP,29,71,3
Internazionale,Paris,74,26,3
Malmö,Man. United,38,62,3
Man. City,Chelsea,34,66,1
Porto,Leipzig,60,40,2
Villareal,Zenit,67,33,2
Benfica,Sevilla,20,80,3
Porto,Ajax,47,53,3
Benfica,Villareal,2,98,3
Malmö,Man. United,81,19,2
Porto,Zenit,72,28,3
Ajax,Paris,15,85,1
Leipzig,LOSC,67,33,1
Barcelona,Club Brugge,49,51,1
Liverpool,Bensiktas,76,24,2
Bensiktas,Leipzig,97,3,3
Sevilla,Internazionale,29,71,2
Juventus,Zenit,93,7,1
Milan,Leipzig,91,9,3
Zenit,Paris,19,81,2
Real Madrid,Paris,20,80,2
Young Boys,Real Madrid,3,97,3
Sevilla,Shakhtar Donetsk,93,7,2
Young Boys,Salzburg,3,97,3
Juventus,Shakhtar Donetsk,91,9,3
Dynamo,Man. City,28,72,3
Shakhtar Donetsk,Internazionale,76,24,1
Ajax,Man. United,86,14,3
Zenit,Club Brugge,50,50,3
Salzburg,Wolfsburg,38,62,2
Zenit,Dynamo,78,22,3
Wolfsburg,Villareal,66,34,2
Villareal,Internazionale,3,97,2
Man. United,Internazionale,64,36,3
Shakhtar Donetsk,Paris,100,0,1
Young Boys,Internazionale,80,20,2
Bayern,LOSC,72,28,3
Villareal,Sheriff,34,66,1
Sporting CP,Atletico,3,97,2
Internazionale,Dortmund,39,61,3
Shakhtar Donetsk,Sheriff,30,70,1
Salzburg,Leipzig,10,90,1
Internazionale,Young Boys,18,82,3
Paris,Man. City,0,100,1
Dortmund,Villareal,3,97,1
Villareal,Sevilla,2,98,3
Ajax,Atletico,53,47,3
Juventus,Man. United,59,41,1
Barcelona,Porto,67,33,3
Sheriff,Internazionale,5,95,2
Sheriff,Man. City,64,36,3
Villareal,Salzburg,84,16,2
Barcelona,Malmö,35,65,3
Wolfsburg,Atletico,83,17,2
Atletico,Milan,70,30,3
Sporting CP,Club Brugge,28,72,3
Porto,Milan,39,61,3
Barcelona,Villareal,49,51,1
Internazionale,Dynamo,53,47,1
Malmö,Porto,2,98,2
LOSC,Ajax,13,87,1
Milan,Leipzig,23,77,3
Benfica,Villareal,55,45,2
Atlanta,Sevilla,15,85,1
Man. United,Benfica,6,94,1
Barcelona,Club Brugge,45,55,3
Barcelona,Paris,96,4,2
Bensiktas,Villareal,46,54,2
Wolfsburg,Atlanta,15,85,1
Juventus,Atletico,30,70,3
Sporting CP,Milan,50,50,1
Club Brugge,Real Madrid,81,19,2
Club Brugge,Young Boys,22,78,2
Bensiktas,Shakhtar Donetsk,4,96,3
Paris,Liverpool,100,0,3
Ajax,Man. City,100,0,1
Young Boys,Paris,52,48,3
Chelsea,Atlanta,46,54,2
Atletico,Man. United,84,16,1
Villareal,Ajax,0,100,1
Porto,Ajax,61,39,1
Leipzig,Real Madrid,65,35,2
LOSC,Malmö,42,58,2
Juventus,Milan,90,10,1
Paris,Juventus,19,81,2
Sheriff,Atlanta,78,22,2
Chelsea,Dynamo,7,93,1
Leipzig,Milan,32,68,1
Dortmund,Dynamo,50,50,3
Sheriff,Porto,2,98,2
Shakhtar Donetsk,Atletico,3,97,3
Real Madrid,Young Boys,57,43,1
Salzburg,Liverpool,76,24,2
Ajax,Young Boys,0,100,3
Bayern,Young Boys,13,87,1
Man. United,Dynamo,76,24,1
Dynamo,Sporting CP,66,34,2
Chelsea,Ajax,48,52,1
Young Boys,Man. United,46,54,2
Bensiktas,Man. United,17,83,2
Shakhtar Donetsk,Salzburg,40,60,1
Club Brugge,Leipzig,98,2,1
Real Madrid,Man. City,40,60,2
Porto,Zenit,35,65,3
Atletico,Sporting CP,49,51,2
Zenit,Juventus,66,34,1
Man. United,Milan,64,36,3
Chelsea,Barcelona,100,0,2
Villareal,Liverpool,33,67,1
Man. City,LOSC,57,43,3
Zenit,Salzburg,65,35,2
Leipzig,Barcelona,67,33,2
Benfica,Milan,46,54,3
Barcelona,Atletico,79,21,1
Paris,Salzburg,98,2,1
LOSC,Dynamo,32,68,2
Young Boys,LOSC,81,19,1
Salzburg,Chelsea,89,11,3
Real Madrid,Bayern,69,31,3
Malmö,Real Madrid,20,80,2
Juventus,Young Boys,44,56,1
Ajax,Atlanta,84,16,2
Leipzig,Paris,43,57,2
Dynamo,Sevilla,96,4,1
Young Boys,Man. City,52,48,2
Leipzig,Sporting CP,33,67,2
Chelsea,Atletico,83,17,1
LOSC,Leipzig,100,0,3
Malmö,Sevilla,84,16,2
Malmö,Sheriff,48,52,2
Atlanta,LOSC,85,15,2
Sevilla,Chelsea,87,13,1
LOSC,Wolfsburg,94,6,2
Young Boys,Sporting CP,65,35,3
Bensiktas,Paris,65,35,2
Chelsea,Malmö,47,53,1
Club Brugge,Wolfsburg,8,92,2
Man. City,Atletico,71,29,3
Shakhtar Donetsk,Porto,18,82,2
Porto,Shakhtar Donetsk,46,54,3
Real Madrid,Liverpool,65,35,3
Zenit,Paris,77,23,3
Paris,Real Madrid,94,6,3
Man. United,LOSC,37,63,2
Liverpool,Dynamo,56,44,2
Paris,Man. City,65,35,2
Barcelona,Dynamo,44,56,2
Dynamo,Porto,49,51,3
Malmö,Man. City,89,11,3
Salzburg,Leipzig,1,99,1
Malmö,Salzburg,19,81,1
LOSC,Milan,28,72,3
Sevilla,Paris,16,84,2
Atletico,Juventus,88,12,3
Ajax,Bensiktas,37,63,3
Man. United,Shakhtar Donetsk,13,87,1
Salzburg,Ajax,15,85,3
Bayern,Sporting CP,66,34,2
Bayern,Liverpool,32,68,1
Sheriff,Bayern,90,10,2
Wolfsburg,Milan,77,23,2
Sporting CP,Bayern,90,10,1
Porto,Ajax,31,69,2
Barcelona,Paris,69,31,1
Malmö,Porto,63,37,3
Zenit,LOSC,84,16,3
LOSC,Liverpool,39,61,1
Atlanta,Salzburg,5,95,3
Chelsea,Sporting CP,88,12,1
Man. City,Porto,78,22,2
Wolfsburg,Salzburg,67,33,1
Benfica,Malmö,54,46,1
Liverpool,Sporting CP,39,61,2
Sevilla,Barcelona,100,0,1
Zenit,Club Brugge,99,1,2
Leipzig,Bayern,86,14,2
Man. United,Atletico,17,83,1
LOSC,Paris,76,24,3
Atlanta,Malmö,2,98,3
Milan,Liverpool,61,39,3
Salzburg,Bensiktas,1,99,3
Internazionale,Shakhtar Donetsk,87,13,3
Man. United,Leipzig,45,55,2
Salzburg,Man. United,34,66,3
Internazionale,Atlanta,10,90,1
Sporting CP,Bensiktas,70,30,1
Zenit,Ajax,27,73,3
Dortmund,Sheriff,95,5,2
Real Madrid,Sporting CP,19,81,2
Liverpool,Real Madrid,62,38,1
Shakhtar Donetsk,Zenit,85,15,3
Young Boys,Shakhtar Donetsk,93,7,3
Leipzig,Chelsea,95,5,3
Porto,Dortmund,62,38,3
Juventus,Salzburg,98,2,3
Shakhtar Donetsk,Wolfsburg,88,12,1
Chelsea,Bensiktas,15,85,1
Man. City,Wolfsburg,78,22,2
Dortmund,Sevilla,89,11,3
Man. City,Chelsea,6,94,1
Benfica,Paris,42,58,1
Ajax,Club Brugge,59,41,3
Benfica,Wolfsburg,10,90,2
Man. City,Real Madrid,41,59,3
Man. City,Dortmund,8,92,3
Salzburg,Dortmund,43,57,2
Malmö,Benfica,64,36,1
Paris,Barcelona,95,5,1
Milan,Dynamo,8,92,2
Sheriff,Internazionale,57,43,2
Wolfsburg,Shakhtar Donetsk,79,21,1
Leipzig,Milan,54,46,1
Malmö,Sevilla,87,13,1
Wolfsburg,Atletico,4,96,3
Man. City,Shakhtar Donetsk,1,99,2
Liverpool,Bayern,62,38,2
Atletico,Ajax,16,84,3
Sheriff,Man. United,91,9,2
Man. United,Chelsea,12,88,2
Sporting CP,Man. United,70,30,2
Club Brugge,Sporting CP,68,32,2
Dortmund,Zenit,4,96,3
Atletico,Ajax,81,19,3
Villareal,Ajax,41,59,3
Young Boys,Salzburg,94,6,1
Leipzig,Chelsea,83,17,2
Dynamo,Dortmund,60,40,1
Zenit,Dortmund,95,5,3
Milan,Wolfsburg,99,1,3
Benfica,Juventus,30,70,2
Paris,Club Brugge,94,6,2
Dortmund,Salzburg,76,24,2
Salzburg,Leipzig,12,88,3
Club Brugge,Juventus,60,40,1
Real Madrid,Bensiktas,80,20,3
Sevilla,Real Madrid,86,14,1
Malmö,Ajax,23,77,1
Benfica,Leipzig,5,95,3
Dynamo,Shakhtar Donetsk,13,87,2
Paris,Sporting CP,7,93,3
Liverpool,Villareal,23,77,3
Internazionale,Zenit,48,52,3
Liverpool,Salzburg,38,62,1
Sheriff,LOSC,82,18,3
Villareal,Juventus,30,70,1
Shakhtar Donetsk,Man. City,38,62,1
Internazionale,Real Madrid,51,49,2
Sevilla,Man. City,38,62,3
Sevilla,Villareal,62,38,1
Benfica,Paris,28,72,1
Leipzig,Ajax,26,74,2
Juventus,Dynamo,49,51,3
LOSC,Man. City,68,32,2
Benfica,Villareal,70,30,1
Young Boys,Man. United,86,14,2
Wolfsburg,Man. City,98,2,1
Paris,Salzburg,70,30,1
Dynamo,Man. City,77,23,2
Porto,Sheriff,93,7,1
Chelsea,Paris,75,25,1
Club Brugge,Bayern,3,97,2
Young Boys,Atlanta,70,30,2
Porto,Liverpool,18,82,2
Internazionale,Sporting CP,30,70,1
Atletico,Villareal,48,52,2
LOSC,Benfica,68,32,3
Atletico,Malmö,55,45,3
Atlanta,Milan,14,86,3
Dortmund,Juventus,21,79,1
Atletico,Sheriff,32,68,1
Bayern,Man. City,58,42,3
Paris,Zenit,59,41,2
Bensiktas,Barcelona,35,65,1
Chelsea,Barcelona,46,54,2
Young Boys,Sheriff,11,89,2
Leipzig,Paris,41,59,3
Wolfsburg,Zenit,87,13,3
Juventus,Benfica,77,23,1
Salzburg,Internazionale,44,56,1
Salzburg,Wolfsburg,88,12,1
Atletico,Salzburg,48,52,2
Liverpool,Juventus,37,63,1
Leipzig,Juventus,19,81,1
Milan,Man. United,83,17,2
Real Madrid,Atletico,68,32,2
Milan,Sporting CP,98,2,2
Zenit,Chelsea,67,33,3
Leipzig,Bayern,79,21,1
Benfica,Club Brugge,19,81,1
Young Boys,Villareal,64,36,2
Sporting CP,Sheriff,30,70,1
Villareal,Ajax,7,93,2
Bensiktas,Ajax,8,92,1
LOSC,Sporting CP,72,28,2
Leipzig,Atletico,10,90,1
Juventus,Salzburg,78,22,1
Paris,Sporting CP,17,83,3
Real Madrid,LOSC,89,11,2
Benfica,Villareal,20,80,2
Sporting CP,LOSC,88,12,2
Paris,Villareal,85,15,2
Dynamo,Villareal,11,89,2
Barcelona,Young Boys,45,55,3
Zenit,Malmö,15,85,3
Porto,Leipzig,27,73,2
Leipzig,Shakhtar Donetsk,61,39,3
Villareal,Leipzig,7,93,3
Leipzig,Man. United,10,90,3
Dynamo,LOSC,40,60,2
Benfica,Shakhtar Donetsk,84,16,3
Dynamo,Atletico,86,14,2
Benfica,Shakhtar Donetsk,30,70,1
Chelsea,Sevilla,94,6,2
Shakhtar Donetsk,Salzburg,91,9,2
Villareal,Sporting CP,40,60,3
Leipzig,Ajax,49,51,2
Dynamo,Real Madrid,45,55,2
Real Madrid,Dortmund,17,83,1
Ajax,Man. United,100,0,3
Club Brugge,Villareal,31,69,2
Club Brugge,Atletico,60,40,2
Milan,Villareal,97,3,2
Wolfsburg,Young Boys,100,0,1
Young Boys,Dortmund,85,15,2
Dynamo,Porto,16,84,2
Wolfsburg,Liverpool,26,74,3
Man. City,Liverpool,75,25,2
Atlanta,Ajax,73,27,3
Benfica,Paris,94,6,2
Man. City,Sevilla,59,41,2
Chelsea,Real Madrid,20,80,1
Atletico,Real Madrid,32,68,3
Villareal,Dortmund,66,34,2
Atlanta,Malmö,55,45,2
Sheriff,Milan,71,29,2
Sporting CP,Leipzig,24,76,3
Real Madrid,Dynamo,18,82,2
Wolfsburg,Paris,29,71,3
Benfica,Shakhtar Donetsk,29,71,1
Sporting CP,Dortmund,79,21,2
Real Madrid,Dortmund,11,89,3
Bayern,Leipzig,75,25,2
Barcelona,Internazionale,84,16,2
Wolfsburg,Atlanta,62,38,2
Salzburg,Porto,12,88,2
Atlanta,Shakhtar Donetsk,80,20,1
Sporting CP,Club Brugge,35,65,3
Leipzig,Wolfsburg,45,55,1
Man. City,Barcelona,95,5,2
Dynamo,Wolfsburg,84,16,2
Porto,Man. United,70,30,3
Leipzig,Club Brugge,35,65,3
Bayern,Sporting CP,58,42,1
LOSC,Chelsea,17,83,1
Club Brugge,Salzburg,68,32,2
Sevilla,Sheriff,1,99,3
Bensiktas,Paris,66,34,1
Club Brugge,Dynamo,92,8,3
LOSC,Man. United,93,7,2
Man. United,Paris,62,38,3
Bayern,Zenit,84,16,3
Sevilla,Real Madrid,7,93,3
Juventus,Benfica,89,11,3
Dynamo,Malmö,100,0,1
Liverpool,Young Boys,35,65,1
Atletico,Internazionale,16,84,3
Dynamo,Dortmund,45,55,3
Internazionale,Villareal,29,71,1
Internazionale,Chelsea,37,63,1
Wolfsburg,Paris,48,52,2
Shakhtar Donetsk,Benfica,33,67,2
Bensiktas,Liverpool,24,76,3
Sevilla,Barcelona,73,27,3
Dynamo,Salzburg,10,90,1
Sheriff,Paris,48,52,1
Atletico,Wolfsburg,14,86,2
Wolfsburg,Benfica,80,20,1
Milan,Wolfsburg,40,60,3
Man. City,Real Madrid,24,76,2
Zenit,Chelsea,56,44,2
Salzburg,Juventus,93,7,1
Young Boys,Man. City,48,52,2
Ajax,Juventus,14,86,2
Man. United,Atlanta,68,32,2
Man. City,Juventus,88,12,2
Ajax,Club Brugge,83,17,1
Wolfsburg,Salzburg,28,72,3
Atletico,Malmö,3,97,2
Internazionale,Benfica,81,19,2
Barcelona,Ajax,81,19,3
Juventus,Zenit,15,85,1
Ajax,Shakhtar Donetsk,47,53,1
Milan,Barcelona,29,71,3
Leipzig,Ajax,33,67,2
Sporting CP,Salzburg,26,74,2
Atlanta,Leipzig,84,16,1
Young Boys,Club Brugge,34,66,1
Dynamo,Milan,52,48,1
Man. City,LOSC,16,84,1
Paris,Atletico,85,15,2
LOSC,Liverpool,82,18,3
Young Boys,Bayern,22,78,1
Villareal,Club Brugge,76,24,3
Man. United,Liverpool,48,52,3
Malmö,Benfica,78,22,2
Atlanta,LOSC,7,93,3
Porto,Milan,13,87,3
Bensiktas,Atletico,74,26,1
Young Boys,Ajax,81,19,1
Atletico,Liverpool,29,71,1
Dynamo,Bensiktas,59,41,3
Ajax,Real Madrid,13,87,2
Chelsea,Ajax,89,11,3
Leipzig,Bensiktas,73,27,2
Salzburg,Malmö,78,22,2
Juventus,Young Boys,19,81,1
Bensiktas,Sevilla,12,88,2
Malmö,LOSC,82,18,1
Atlanta,Man. City,90,10,1
Sevilla,Bayern,33,67,2
Wolfsburg,Liverpool,26,74,2
Barcelona,Benfica,18,82,2
Man. City,Benfica,6,94,2
Man. United,Malmö,81,19,1
Wolfsburg,Liverpool,36,64,3
Dortmund,Zenit,73,27,2
Malmö,Sevilla,31,69,2
Villareal,Salzburg,48,52,2
Atlanta,Benfica,94,6,2
Juventus,Man. United,34,66,3
Wolfsburg,Real Madrid,29,71,1
Barcelona,Bensiktas,26,74,3
Dortmund,Sevilla,67,33,3
Bensiktas,Sheriff,33,67,1
Sporting CP,Dynamo,27,73,1
Man. United,Porto,93,7,1
Barcelona,Liverpool,60,40,2
Paris,LOSC,96,4,3
Young Boys,Atletico,73,27,1
Wolfsburg,Atlanta,23,77,2
Ajax,Malmö,53,47,3
Villareal,Shakhtar Donetsk,5,95,1
Club Brugge,Leipzig,77,23,2
Malmö,Paris,39,61,3
LOSC,Chelsea,44,56,2
Atletico,Milan,12,88,1
Club Brugge,Young Boys,8,92,1
Wolfsburg,Atletico,45,55,1
Man. United,Ajax,59,41,3
Young Boys,Juventus,54,46,1
Man. United,Paris,8,92,1
Leipzig,Man. City,81,19,1
Shakhtar Donetsk,Salzburg,59,41,1
Club Brugge,Zenit,69,31,1
Sevilla,Leipzig,45,55,2
Porto,Juventus,3,97,1
Bayern,Man. City,21,79,2
Man. City,Real Madrid,62,38,3
Internazionale,Paris,89,11,3
Real Madrid,Sporting CP,86,14,3
LOSC,Man. City,56,44,3
Club Brugge,Atletico,42,58,1
Bensiktas,Ajax,5,95,1
Villareal,Liverpool,42,58,2
Man. United,LOSC,6,94,1
Sevilla,Dortmund,50,50,2
Dortmund,Bayern,11,89,3
Man. United,Malmö,89,11,1
Shakhtar Donetsk,Paris,72,28,2
Internazionale,Liverpool,95,5,3
Sheriff,Dortmund,64,36,2
Atletico,Leipzig,18,82,1
Milan,Bayern,85,15,2
Dynamo,Porto,19,81,3
Man. City,Club Brugge,86,14,3
Club Brugge,Bensiktas,54,46,1
Salzburg,Sevilla,86,14,3
Atletico,Milan,85,15,1
Real Madrid,Dortmund,57,43,1
Chelsea,Paris,92,8,2
Dynamo,Internazionale,39,61,1
Man. United,Internazionale,12,88,3
Man. City,Man. United,39,61,2
Sevilla,Barcelona,97,3,1
Juventus,Ajax,60,40,1
Chelsea,Atletico,54,46,2
Club Brugge,Internazionale,0,100,1
Villareal,Milan,90,10,2
Liverpool,Wolfsburg,43,57,1
Dynamo,Ajax,59,41,3
LOSC,Sheriff,25,75,3
Internazionale,Ajax,27,73,2
Chelsea,LOSC,100,0,2
Juventus,Villareal,28,72,1
Real Madrid,Wolfsburg,49,51,3
Juventus,Sporting CP,80,20,3
Juventus,Young Boys,80,20,1
Villareal,Club Brugge,16,84,2
Man. United,Juventus,63,37,2
Barcelona,Milan,75,25,3
Wolfsburg,Sporting CP,34,66,1
Dynamo,Real Madrid,67,33,3
Villareal,Barcelona,28,72,3
Atlanta,Bayern,76,24,1
Salzburg,Milan,78,22,1
Man. United,Young Boys,92,8,3
Atlanta,Shakhtar Donetsk,7,93,3
Leipzig,Villareal,18,82,2
Atlanta,Shakhtar Donetsk,85,15,2
Internazionale,Young Boys,84,16,3
Porto,Young Boys,44,56,1
Milan,Salzburg,89,11,2
Shakhtar Donetsk,Atlanta,33,67,3
Sevilla,Man. City,74,26,3
Zenit,Milan,62,38,1
Malmö,Sporting CP,12,88,2
Liverpool,Shakhtar Donetsk,6,94,1
Atlanta,Leipzig,14,86,1
Sheriff,Barcelona,51,49,2
Villareal,Ajax,35,65,2
Bensiktas,Wolfsburg,71,29,3
Salzburg,Dynamo,43,57,1
Paris,Bayern,86,14,3
Paris,Juventus,94,6,3
Paris,Benfica,22,78,2
Juventus,Malmö,97,3,1
Club Brugge,Young Boys,3,97,3
Ajax,Porto,0,100,3
Leipzig,Malmö,59,41,1
Juventus,Club Brugge,10,90,2
Sporting CP,Man. United,82,18,3
Internazionale,Paris,56,44,3
Juventus,Young Boys,34,66,3
Zenit,Chelsea,28,72,1
Dynamo,Young Boys,48,52,2
Bayern,Internazionale,85,15,3
Dynamo,Chelsea,33,67,1
Chelsea,Shakhtar Donetsk,99,1,3
Leipzig,Paris,36,64,2
Dortmund,Malmö,47,53,1
Salzburg,Benfica,43,57,2
Juventus,Dynamo,2,98,2
Man. City,Ajax,98,2,1
Zenit,Real Madrid,5,95,2
Sporting CP,Benfica,94,6,2
Club Brugge,Bayern,36,64,1
Sporting CP,Bayern,45,55,1
Liverpool,Atletico,45,55,3
Dynamo,Young Boys,62,38,2
Club Brugge,Man. City,67,33,1
Real Madrid,Club Brugge,60,40,2
Dynamo,Sevilla,23,77,1
Club Brugge,Ajax,100,0,3
Atlanta,Dortmund,66,34,2
Bensiktas,Salzburg,8,92,3
Ajax,Man. City,63,37,2
Salzburg,Chelsea,53,47,1
Wolfsburg,Ajax,66,34,2
Atletico,Real Madrid,75,25,2
Bayern,Sheriff,24,76,1
Barcelona,Real Madrid,76,24,3
Atletico,Malmö,8,92,1
Dortmund,Ajax,33,67,1
Leipzig,Chelsea,6,94,3
Paris,Dortmund,50,50,2
Villareal,Dortmund,83,17,1
Villareal,Atletico,0,100,3
Porto,Atletico,86,14,1
Chelsea,Atlanta,31,69,2
Wolfsburg,LOSC,79,21,2
Benfica,Porto,10,90,1
Bensiktas,Internazionale,55,45,2
Atletico,Villareal,87,13,2
Dortmund,Atletico,65,35,3
Liverpool,Malmö,90,10,3
Porto,Sporting CP,46,54,3
Atlanta,Man. United,21,79,1
Ajax,Dortmund,60,40,2
Atletico,Bensiktas,15,85,2
Man. United,Liverpool,34,66,1
Porto,Sevilla,30,70,1
Sheriff,Chelsea,14,86,1
Porto,Bensiktas,82,18,2
Ajax,Club Brugge,36,64,2
Milan,Villareal,63,37,3
Chelsea,Man. United,77,23,1
Club Brugge,Dynamo,64,36,2
Atletico,Bensiktas,74,26,1
Milan,Real Madrid,73,27,1
Sheriff,Dynamo,13,87,2
Chelsea,Juventus,51,49,2
Sheriff,Dortmund,46,54,1
Porto,Wolfsburg,52,48,3
Man. United,Bayern,47,53,1
Ajax,Shakhtar Donetsk,13,87,2
Internazionale,Sevilla,89,11,3
Internazionale,Salzburg,16,84,1
Dynamo,Villareal,92,8,1
Man. City,Club Brugge,99,1,2
Atlanta,Sevilla,44,56,1
Zenit,Internazionale,40,60,2
Young Boys,Wolfsburg,32,68,2
Salzburg,Milan,64,36,2
Young Boys,Juventus,77,23,1
Paris,Shakhtar Donetsk,50,50,1
Sheriff,Juventus,46,54,3
Shakhtar Donetsk,Zenit,83,17,1
LOSC,Dortmund,52,48,1
Juventus,Dortmund,21,79,3
Sheriff,Salzburg,18,82,1
Porto,Real Madrid,73,27,3
Dortmund,Sporting CP,27,73,2
Salzburg,Young Boys,79,21,2
Chelsea,Ajax,43,57,1
Man. United,Young Boys,65,35,3
Shakhtar Donetsk,Atletico,37,63,2
Villareal,Club Brugge,20,80,2
Dynamo,Real Madrid,75,25,3
Bensiktas,Club Brugge,81,19,2
Young Boys,LOSC,63,37,1
Dynamo,Salzburg,27,73,3
Dortmund,Sheriff,99,1,3
Dynamo,Porto,83,17,2
Liverpool,Paris,70,30,3
Club Brugge,Liverpool,6,94,1
Club Brugge,Atletico,66,34,1
Young Boys,Villareal,57,43,2
Milan,Salzburg,59,41,1
Wolfsburg,Barcelona,58,42,3
Villareal,Liverpool,68,32,2
Club Brugge,Villareal,28,72,2
Ajax,Man. City,31,69,3
Young Boys,Bayern,74,26,1
Man. City,Atletico,97,3,1
Zenit,Internazionale,88,12,3
Wolfsburg,Bensiktas,57,43,1
Dynamo,Bayern,93,7,3
Wolfsburg,Sporting CP,62,38,2
Milan,Chelsea,45,55,3
Man. City,Ajax,46,54,2
Liverpool,LOSC,60,40,1
Bayern,Dortmund,65,35,2
Dortmund,Benfica,44,56,2
Internazionale,Salzburg,93,7,2
Villareal,Sporting CP,13,87,2
Leipzig,Malmö,90,10,3
Bensiktas,Club Brugge,95,5,3
Bayern,Sporting CP,59,41,2
Sporting CP,Villareal,93,7,3
Villareal,Zenit,64,36,3
Juventus,Malmö,18,82,3
Shakhtar Donetsk,Bensiktas,85,15,1
Juventus,Leipzig,49,51,3
Barcelona,Sporting CP,44,56,1
Atlanta,Leipzig,15,85,3
Milan,Bayern,40,60,3
Juventus,Sevilla,41,59,3
Zenit,Ajax,68,32,1
Villareal,Dynamo,68,32,3
Real Madrid,Liverpool,82,18,2
Shakhtar Donetsk,LOSC,42,58,1
Real Madrid,Shakhtar Donetsk,33,67,3
Juventus,Man. United,80,20,1
Man. United,Dortmund,89,11,2
Juventus,Young Boys,42,58,3
Dynamo,Sevilla,100,0,2
Zenit,Dortmund,59,41,2
Benfica,Zenit,56,44,1
Malmö,Ajax,61,39,1
Club Brugge,Dynamo,34,66,3
LOSC,Dortmund,61,39,2
Zenit,Wolfsburg,49,51,2
Ajax,Chelsea,89,11,1
Atlanta,Sheriff,78,22,1
Young Boys,Benfica,100,0,3
Bensiktas,Salzburg,18,82,2
Salzburg,Benfica,52,48,1
Man. United,Internazionale,86,14,2
Real Madrid,Barcelona,95,5,1
Club Brugge,Wolfsburg,4,96,1
Dynamo,Ajax,55,45,3
Sporting CP,Club Brugge,92,8,3
Liverpool,Milan,67,33,1
Leipzig,Milan,14,86,1
Atletico,Salzburg,66,34,3
Man. City,Leipzig,31,69,3
Sheriff,Dortmund,4,96,3
Bayern,Milan,99,1,3
Barcelona,Wolfsburg,9,91,2
Dortmund,Chelsea,72,28,2
Liverpool,Porto,42,58,2
Malmö,Milan,67,33,1
Chelsea,Dortmund,79,21,1
Man. City,Atletico,54,46,3
Man. City,Internazionale,77,23,1
Bayern,Internazionale,46,54,3
Sevilla,Young Boys,1,99,3
Atlanta,Atletico,5,95,3
Sheriff,Shakhtar Donetsk,95,5,1
Paris,Bensiktas,78,22,1
Atlanta,Paris,86,14,2
Juventus,Malmö,15,85,3
Salzburg,Malmö,72,28,3
Salzburg,Sheriff,52,48,1
Young Boys,Atlanta,32,68,3
Bayern,LOSC,9,91,2
Zenit,Villareal,85,15,1
Man. City,LOSC,74,26,3
Bensiktas,Liverpool,65,35,3
Young Boys,Barcelona,47,53,1
Milan,Paris,13,87,2
Bensiktas,Paris,29,71,3
Atletico,Real Madrid,75,25,2
Juventus,Sporting CP,76,24,2
Shakhtar Donetsk,Malmö,54,46,2
Porto,Bayern,71,29,3
Leipzig,Real Madrid,23,77,2
Man. United,Ajax,22,78,1
Juventus,Atlanta,22,78,1
Real Madrid,Sporting CP,63,37,2
Young Boys,Club Brugge,0,100,2
Sporting CP,Man. City,72,28,1
Paris,Sheriff,96,4,2
Sevilla,Ajax,99,1,2
Malmö,Barcelona,93,7,2
Ajax,Porto,0,100,1
Dortmund,Liverpool,30,70,1
Dortmund,Villareal,85,15,3
Real Madrid,Man. United,39,61,3
Barcelona,Bayern,36,64,3
Ajax,Villareal,6,94,2
Dynamo,LOSC,34,66,2
Leipzig,Bayern,44,56,1
Club Brugge,Sevilla,11,89,2
Zenit,Young Boys,95,5,3
Man. United,Ajax,0,100,3
Villareal,Paris,43,57,2
Bayern,Young Boys,15,85,2
Salzburg,Internazionale,90,10,3
